d,popt,gdppc,t,tau,exports,expart_rate,trade_elasticity
ISR,0.0226337337278418,0.5147396602701588,71,1.3064684606113464,4.8991132878491834,0.0569641531081005,4.1217531711601829
ISR,0.0226337337278418,0.5147396602701588,72,1.3064684606113464,4.8991137112532925,0.0569641674606687,4.1217539914355683
ISR,0.0226337337278418,0.5147396602701588,73,1.3064684606113464,4.8991140799904125,0.0569641799363528,4.1217547058026538
ISR,0.0226337337278418,0.5147396602701588,74,1.3064684606113464,4.8991144011200873,0.0569641907806753,4.1217553279381551
ISR,0.0226337337278418,0.5147396602701588,75,1.3064684606113464,4.8991146807900474,0.0569642002070296,4.1217558697523016
ISR,0.0226337337278418,0.5147396602701588,76,1.3064684606113464,4.8991149243539756,0.0569642084008870,4.1217563416169760
ISR,0.0226337337278418,0.5147396602701588,77,1.3064684606113464,4.8991151364741095,0.0569642155234506,4.1217567525645009
ISR,0.0226337337278418,0.5147396602701588,78,1.3064684606113464,4.8991153212105578,0.0569642217148321,4.1217571104606670
ISR,0.0226337337278418,0.5147396602701588,79,1.3064684606113464,4.8991154820990683,0.0569642270968122,4.1217574221554081
ISR,0.0226337337278418,0.5147396602701588,80,1.3064684606113464,4.8991156222187833,0.0569642317752399,4.1217576936140512
ISR,0.0226337337278418,0.5147396602701588,81,1.3064684606113464,4.8991157442511977,0.0569642358421169,4.1217579300315528
ISR,0.0226337337278418,0.5147396602701588,82,1.3064684606113464,4.8991158505315209,0.0569642393774101,4.1217581359319917
ISR,0.0226337337278418,0.5147396602701588,83,1.3064684606113464,4.8991159430934328,0.0569642424506265,4.1217583152552884
ISR,0.0226337337278418,0.5147396602701588,84,1.3064684606113464,4.8991160237079860,0.0569642451221818,4.1217584714325648
ISR,0.0226337337278418,0.5147396602701588,85,1.3064684606113464,4.8991160939175566,0.0569642474445895,4.1217586074519161
ISR,0.0226337337278418,0.5147396602701588,86,1.3064684606113464,4.8991161550653644,0.0569642494634954,4.1217587259156101
ISR,0.0226337337278418,0.5147396602701588,87,1.3064684606113464,4.8991162083211979,0.0569642512185754,4.1217588290899183
ISR,0.0226337337278418,0.5147396602701588,88,1.3064684606113464,4.8991162547038050,0.0569642527443175,4.1217589189484922
ISR,0.0226337337278418,0.5147396602701588,89,1.3064684606113464,4.8991162951004075,0.0569642540706996,4.1217589972101791
ISR,0.0226337337278418,0.5147396602701588,90,1.3064684606113464,4.8991163302836771,0.0569642552237794,4.1217590653719016
ISR,0.0226337337278418,0.5147396602701588,91,1.3064684606113464,4.8991163609265325,0.0569642562262080,4.1217591247373289
ISR,0.0226337337278418,0.5147396602701588,92,1.3064684606113464,4.8991163876150221,0.0569642570976746,4.1217591764418291
ISR,0.0226337337278418,0.5147396602701588,93,1.3064684606113464,4.8991164108595262,0.0569642578552945,4.1217592214741829
ISR,0.0226337337278418,0.5147396602701588,94,1.3064684606113464,4.8991164311045576,0.0569642585139456,4.1217592606955575
